                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2093,                 2.0714,                 1.0432,                 1.3628,                0.30829,                0.70423,                0.30827,                0.14702,                0.23996,                 0.5493,                0.20028,                 0.0736,                 1.5801,                 2.4978,                 2.2964,                 1.3989,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.1749,                 2.1307,                 1.0483,                 1.3638,                0.77038,                0.66197,                0.76946,                0.38786,                0.59114,                 0.4507,                0.42679,                0.18991,                 1.5861,                 2.6845,                 1.4907,                 1.3674,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1568,                 2.0093,                 1.0007,                 1.3396,                0.60873,                0.71831,                0.68131,                0.34346,                 0.4643,                0.46388,                0.38518,                0.14012,                 1.6828,                 2.7353,                 1.2855,                 1.3666,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.1812,                 2.0715,                0.97914,                 1.3447,                0.11505,                0.67606,                0.11269,                  0.056,                0.10067,                0.59155,                0.08885,                 0.0321,                 1.6292,                 2.5471,                 4.6711,                 1.4182,               0.001505,               0.001505,               0.001505
                     27,                 1.1637,                 2.0957,                0.98353,                 1.3335,                0.11228,                0.77134,                0.10894,                0.05884,                0.08237,                 0.5493,                0.07186,                0.02482,                 1.5877,                 2.4612,                 4.5725,                 1.4872,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.1556,                 2.2533,                 1.0136,                 1.3478,                0.23209,                0.39437,                0.17354,                0.08837,                0.18998,                0.32374,                0.11547,                0.03721,                 1.7759,                 2.7826,                  2.347,                 1.5344,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.1269,                 2.1133,                 1.0104,                 1.3412,                0.67441,                0.74648,                0.72372,                  0.328,                 0.4869,                 0.6338,                0.46188,                0.15946,                 1.6695,                 2.3113,                 1.4647,                 1.5976,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0725,                 2.0715,                0.99006,                 1.2994,                0.75496,                0.71831,                 0.7709,                0.43343,                0.57458,                0.60876,                0.48086,                0.18648,                 1.4772,                 2.6538,                 1.1054,                 1.3271,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.077,                 1.8872,                0.90604,                 1.2889,                0.80711,                0.69014,                0.81041,                0.40453,                0.71761,                0.57271,                0.56821,                0.22026,                 1.6075,                 2.6948,                 1.1756,                  1.352,               0.001406,               0.001406,               0.001406
                     32,                 1.0788,                 1.9534,                0.90852,                 1.3023,                0.79573,                0.83099,                0.85839,                0.50889,                0.68783,                0.71831,                0.67613,                0.27005,                 1.4103,                 2.0804,                  1.183,                 1.2568,              0.0013862,              0.0013862,              0.0013862
